                                                                                                                                                                                                     25 Apr 2023 14:23:33
CoverageDefinition-NorthCusp



Spliced coverage by Pass for Region: 1
--------------------------------------

Access       Access Start (UTCG)          Access End (UTCG)       Duration (sec)     Asset Name    Asset Full Name    Region Name    % Coverage    Area Coverage (km^2)    % Accum Coverage    Accum Area Coverage (km^2)
   151     3 Feb 2025 13:49:59.763     3 Feb 2025 14:02:23.615           743.852    Satellite12    Satellite12        1               11.111111           490771.330147          100.000000                4416941.971327
   152     4 Feb 2025 07:13:04.419     4 Feb 2025 07:27:18.991           854.572    Satellite12    Satellite12        1               22.222222           981542.660295          100.000000                4416941.971327
   153     4 Feb 2025 08:47:32.035     4 Feb 2025 09:03:48.257           976.222    Satellite12    Satellite12        1               66.666667          2944627.980884          100.000000                4416941.971327
   154     4 Feb 2025 10:21:46.867     4 Feb 2025 10:38:32.887          1006.021    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
   155     4 Feb 2025 11:56:20.899     4 Feb 2025 12:13:17.330          1016.431    Satellite12    Satellite12        1               66.666667          2944627.980884          100.000000                4416941.971327
   156     4 Feb 2025 13:31:03.905     4 Feb 2025 13:46:50.131           946.226    Satellite12    Satellite12        1               22.222222           981542.660295          100.000000                4416941.971327
   157     5 Feb 2025 06:59:41.225     5 Feb 2025 07:07:31.352           470.127    Satellite12    Satellite12        1               11.111111           490771.330147          100.000000                4416941.971327
   158     5 Feb 2025 08:28:42.229     5 Feb 2025 08:44:48.852           966.623    Satellite12    Satellite12        1               55.555556          2453856.650737          100.000000                4416941.971327
   159     5 Feb 2025 10:02:59.540     5 Feb 2025 10:19:38.716           999.177    Satellite12    Satellite12        1              100.000000          4416941.971327          100.000000                4416941.971327
   160     5 Feb 2025 11:37:25.038     5 Feb 2025 11:54:22.935          1017.897    Satellite12    Satellite12        1               77.777778          3435399.311032          100.000000                4416941.971327
   161     5 Feb 2025 13:12:08.027     5 Feb 2025 13:28:20.723           972.696    Satellite12    Satellite12        1               33.333333          1472313.990442          100.000000                4416941.971327
   162     6 Feb 2025 08:09:51.912     6 Feb 2025 08:25:42.591           950.679    Satellite12    Satellite12        1               44.444444          1963085.320590          100.000000                4416941.971327
   163     6 Feb 2025 09:44:11.719     6 Feb 2025 10:00:44.279           992.560    Satellite12    Satellite12        1               88.888889          3926170.641179          100.000000                4416941.971327
